iter	Passed	Remaining
402	11551	17111
403	11577	17079
404	11612	17060
405	11636	17025
406	11659	16987
407	11683	16951
408	11704	16912
409	11727	16876
410	11751	16841
411	11773	16803
412	11801	16773
413	11829	16744
414	11857	16715
415	11891	16693
416	11922	16668
417	11944	16630
418	11973	16602
419	11998	16569
420	12026	16540
421	12051	16506
422	12075	16471
423	12102	16440
424	12132	16415
425	12159	16383
426	12187	16355
427	12215	16324
428	12245	16298
429	12269	16264
430	12299	16237
431	12327	16208
432	12357	16181
433	12386	16153
434	12413	16123
435	12438	16090
436	12466	16060
437	12490	16027
438	12517	15996
439	12542	15963
440	12569	15932
441	12600	15907
442	12629	15879
443	12658	15852
444	12686	15822
445	12713	15791
446	12739	15760
447	12765	15728
448	12795	15702
449	12826	15676
450	12856	15649
451	12880	15615
452	12908	15587
453	12943	15566
454	12971	15537
455	13002	15511
456	13025	15476
457	13056	15451
458	13096	15435
459	13133	15417
460	13161	15388
461	13204	15376
462	13236	15352
463	13265	15324
464	13292	15294
465	13319	15263
466	13347	15234
467	13373	15202
468	13399	15170
469	13425	15139
470	13451	15107
471	13479	15079
472	13506	15048
473	13529	15014
474	13560	14987
475	13594	14964
476	13629	14944
477	13654	14911
478	13682	14881
479	13706	14848
480	13731	14816
481	13756	14784
482	13782	14752
483	13814	14728
484	13843	14700
485	13880	14679
486	13907	14649
487	13931	14617
488	13958	14586
489	13983	14554
490	14011	14525
491	14038	14495
492	14074	14473
493	14102	14445
494	14129	14415
495	14158	14386
496	14184	14356
497	14211	14325
498	14241	14298
499	14275	14275
500	14306	14248
501	14331	14217
502	14360	14189
503	14388	14160
504	14416	14131
505	14442	14100
506	14464	14065
507	14492	14035
508	14517	14004
509	14542	13972
510	14570	13942
511	14600	13916
512	14629	13888
513	14656	13858
514	14683	13828
515	14706	13794
516	14730	13762
517	14760	13734
518	14791	13708
519	14821	13681
520	14846	13650
521	14876	13622
522	14907	13596
523	14937	13569
524	14963	13538
525	14986	13505
526	15015	13477
527	15040	13445
528	15071	13419
529	15113	13402
530	15143	13375
531	15165	13340
532	15193	13311
533	15215	13278
534	15243	13248
535	15270	13219
536	15293	13185
537	15321	13156
538	15352	13130
539	15378	13100
540	15406	13071
541	15435	13042
542	15460	13011
543	15491	12985
544	15521	12958
545	15545	12925
546	15576	12899
547	15603	12870
548	15630	12840
549	15657	12811
550	15682	12779
551	15720	12758
552	15751	12732
553	15776	12700
554	15800	12668
555	15823	12636
556	15863	12616
557	15893	12589
558	15924	12562
559	15947	12530
560	15972	12499
561	16000	12470
562	16030	12442
563	16064	12418
564	16092	12389
565	16117	12358
566	16144	12329
567	16172	12300
568	16205	12275
569	16231	12244
570	16255	12212
571	16279	12181
572	16308	12152
573	16333	12121
574	16357	12090
575	16388	12064
576	16421	12038
577	16448	12009
578	16474	11979
579	16503	11951
580	16534	11923
581	16565	11897
582	16590	11866
583	16617	11837
584	16641	11805
585	16666	11774
586	16694	11745
587	16722	11717
588	16744	11684
589	16774	11657
590	16802	11628
591	16834	11601
592	16862	11573
593	16886	11541
594	16911	11510
595	16941	11484
596	16967	11453
597	16994	11424
